iter	Passed	Remaining
733	5595	2027
734	5601	2019
735	5608	2011
736	5614	2003
737	5620	1995
738	5627	1987
739	5634	1979
740	5641	1971
741	5647	1963
742	5653	1955
743	5659	1947
744	5665	1939
745	5672	1931
746	5678	1923
747	5686	1915
748	5692	1907
749	5699	1899
750	5706	1892
751	5712	1883
752	5718	1875
753	5725	1867
754	5732	1860
755	5738	1852
756	5744	1844
757	5750	1836
758	5757	1828
759	5763	1820
760	5770	1812
761	5776	1804
762	5782	1796
763	5789	1788
764	5796	1780
765	5802	1772
766	5808	1764
767	5815	1756
768	5821	1748
769	5827	1740
770	5834	1732
771	5840	1724
772	5847	1717
773	5854	1709
774	5860	1701
775	5866	1693
776	5874	1685
777	5880	1677
778	5887	1670
779	5892	1662
780	5898	1654
781	5904	1646
782	5911	1638
783	5918	1630
784	5924	1622
785	5930	1614
786	5937	1606
787	5944	1599
788	5951	1591
789	5957	1583
790	5963	1575
791	5969	1567
792	5976	1559
793	5982	1552
794	5988	1544
795	5994	1536
796	6001	1528
797	6007	1520
798	6014	1512
799	6021	1505
800	6027	1497
801	6035	1489
802	6041	1482
803	6048	1474
804	6054	1466
805	6059	1458
806	6064	1450
807	6068	1442
808	6073	1433
809	6077	1425
810	6083	1417
811	6088	1409
812	6093	1401
813	6098	1393
814	6103	1385
815	6108	1377
816	6114	1369
817	6118	1361
818	6123	1353
819	6128	1345
820	6133	1337
821	6138	1329
822	6143	1321
823	6148	1313
824	6152	1305
825	6157	1297
826	6163	1289
827	6169	1281
828	6173	1273
829	6179	1265
830	6184	1257
831	6189	1249
832	6194	1241
833	6199	1233
834	6204	1226
835	6209	1218
836	6214	1210
837	6219	1202
838	6224	1194
839	6229	1186
840	6234	1178
841	6239	1170
842	6245	1163
843	6250	1155
844	6256	1147
845	6261	1139
846	6266	1131
847	6271	1124
848	6277	1116
849	6281	1108
850	6286	1100
851	6292	1093
852	6296	1085
853	6301	1077
854	6306	1069
855	6310	1061
856	6315	1053
857	6320	1046
858	6327	1038
859	6332	1030
860	6337	1023
861	6342	1015
862	6347	1007
863	6351	999
864	6357	992
865	6361	984
866	6366	976
867	6372	969
868	6377	961
869	6382	953
870	6387	946
871	6391	938
872	6397	930
873	6401	922
874	6407	915
875	6412	907
876	6417	900
877	6423	892
878	6427	884
879	6432	877
880	6437	869
881	6441	861
882	6446	854
883	6451	846
884	6456	839
885	6461	831
886	6465	823
